Partner Skill,Description,Pal
Darkflame Lion,"While Blazehowl Noct is your active Pal, increases the amount of items Neutral Pals drop when defeated.",Blazehowl Noct
Dig Here!,"When grazing in the Ranch, Vixy occasionally finds Pals Spheres, Arrows, and Gold. Vixy can also find Mega Pal Spheres with at least 4 levels in Dig Here.",Vixy
Direhowl Rider,Increases mount speed and enables mounting for Direhowl.,Direhowl
Dragon Hunter,"While Cryolinx is your active Pal, increases the amount of items Dragon Pals drop when defeated.",Cryolinx
Dream Chaser,Daedream accompanies you and follows up your attacks with dark magic that increase in damage for each level of Dream Chaser while it is in your party and not set as your active Pal.,Daedream
Drill Crusher,"When activated, Digtoise spins and mines ores with inreased efficiency. Shell Spin's power is also powered up.",Digtoise
Egg Layer,"When assigned to the Ranch, Chikipi produces Eggs.",Chikipi
Eggbomb Launcher,"Requires Tocotoco's Gloves. While Tocotoco is the active Pal, activate its Partner Skill and it will hop onto the player's arms and will act as a grenade launcher that shoots explosive eggs.",Tocotoco
Ferocious Thunder Dragon,"While Orserk is your active Pal, it increases the amount of items Water Pals drop when defeated.",Orserk
Flame Wing,Increases the player's attack significantly and changes the player's damage type to Fire while mounting Ragnahawk.,Ragnahawk
Flameclaw Hunter,"Incineram attacks the target enemy with the Hellfire Claw skill, damaging and burning the enemy.",Incineram
Fluffy,"While in your party, increases Sweepa's attack and defense.",Swee
Fluffy Shield,"Allows Lamball to be used as a shield. When assigned to the Ranch, Lamball produces Wool.",Lamball
Fluffy Wool,"Powers up the attack of Neutral Pals in the party while Cremis is in the party. When assigned to the Ranch, Cremis produces Wool.",Cremis
Flying Trapeze,Allows Hangyu to be used as a glider. Hangyu gives the player a short upward burst when used. Each level increases the base gliding speed and decreases stamina drain and the rate at which you fall while gliding.,Hangyu
Fragrant Dragon,Increases the Grass damage dealt by the player and Dinossom while mounted. Enables Dinossom to be mounted.,Dinossom
Fried Squid,"Allows Killamari to be used as a glider. Each level increases the base gliding speed, and decreases stamina drain and the rate at which you fall while gliding.",Killamari
Full-power Gorilla Mode,"When activated, it significantly increases Gorirat's attack temporarily.",Gorirat
Gaia Crusher,Improves the player's mining and logging efficiency while riding Mammorest.,Mammorest
Galeclaw Rider,Allows Galeclaw to be used as a glider. Each level increases the base gliding speed and decreases stamina drain and the rate at which you fall while gliding. Guns can be fired while gliding with Galeclaw.,Galeclaw
Goddess of the Tranquil Light,Lyleen Noct heals the player for a set amount per level when activated.,Lyleen Noct
Gold Digger,"When assigned to the Ranch, Mau produces Gold Coins.",Mau
Grassland Speedster,"When fighting together with Verdash, increases player movement speed moderately and changes the player's damage type to Grass.",Verdash
Grenadier Panda,Allows Mossanda to be mounted and wield a grenade launcher. Mossanda can fire the grenade launcher multiple times to deal Neutral element damage and stun enemies in a large area.,Mossanda
Grimoire Collector,"While Katress is your active Pal, increases the amount of items Neutral Pals drop when defeated.",Katress
Guardian of the Desert,"When fighting together with Anubis, increases player attack by a small amount and changes the player's damage type to Ground.",Anubis
Guardian of the Forest,"Enables Eikthyrdeer to be mounted. While mounted, Eikthyrdeer can perform a double jump and player gets increased logging efficiency.",Eikthyrdeer
Guardian of the Golden Forest,"Enables Eikthyrdeer Terra to be mounted. While mounted, Eikthyrdeer Terra can perform a double jump and player gets increased logging efficiency.",Eikthyrdeer Terra
Guardian of the Grassy Fields,Increases the player's max carrying capacity by a large amount while Wumpo Botan is on the team. Allows Wumpo Botan to be mounted.,Wumpo Botan
Guardian of the Snowy Mountain,Increases the player's max carrying capacity by a large amount while Wumpo is on the team. Allows Wumpo to be mounted.,Wumpo
Hard Armor,"While Warsect is your active Pal, your defense and fire resistance is increased.",Warsect
Hard Head,Increases player's mining efficiency while riding Rushoar.,Rushoar
Harvest Goddess,Lyleen heals the player for a set amount per level when activated.,Lyleen
Hawk Eye,Increases the player's damage dealt to enemy weak points while fighting with Robinquill.,Robinquill   
Heart Drain,Lovander and the player heals for a portion of the damage they deal while fighting together.,Lovander
Hellflame Lion,"While Blazehowl is your active Pal, increases the amount of items Grass Pals drop when defeated.",Blazehowl
Helper Bunny,Flopie accompanies you and picks up item with a certain range and adds them to your inventory.,Flopie
Holy Knight of the Firmament,Increases base mount speed and enables mounting for Paladius. Allows Paladius to triple jump while mounted.,Paladius
Huggy Fire,"Requires Foxparks's Harness. While Foxparks is the active Pal, activate its Partner Skill and it will hop onto the player's arms and will act as a flamethrower, replacing the player's weapon for the duration.",Foxparks
Hungry Missile,Allows you to mount Relaxaurus and have it fire a series of rockets while mounted.,Relaxaurus
Ice Crusher,Improves the player's mining and logging efficiency while riding Mammorest Cryst.,Mammorest Cryst
Ice Steed,Converts the player's attacks to deal Ice damage instead and increases the Ice damage dealt by the player and Frostallion while mounted. Enables Frostallion to be mounted.,Frostallion
Ice-loving Beast,Improves the player's mining efficiency while riding Ice Reptyro.,Ice Reptyro
Jolt Bomb,"Equips Jolthog in the player's hand. When thrown, it creates a large electric explosion on impact, dealing damage and shocking enemies hit which stuns them and makes them easier to catch for a moment. The damage increases for each level of Jolt Bomb.",Jolthog
Jumping Force,Increases base mount speed and enables mounting for Rayhound. Allows Rayhound to double jump while mounted.,Rayhound
King of Fluff,Unlocks the ability to mount Sweepa. Sweepa gains a small damage increase for each level of this Partner Skill. Does not affect Swee.,Sweepa
King of Muscles,Increases the player's max carrying capacity by a significant amount while Kingpaca is on the team. Allows Kingpaca to be mounted.,Kingpaca
Kuudere,"When fighting together with Nox, powers up player attack by a small amount and changes the player's damage type to Dark.",Nox
Lady of Lightning,Dazzi accompanies you and follows up your attacks with lightning bolts that increase in damage per Partner Skill level while it is in your party and not set as your active Pal.,Dazzi
Lava Spout,"While Kelpsea Ignis is in your party, the attack of your active Fire Pal is increased.",Kelpsea Ignis
Life Steal,Felbat and the player heals a portion of the damage they deal while fighting together.,Felbat
Lifmunk Recoil,"Requires Lifmunk's Submachine Gun. While Lifmunk is the active Pal, activate its Partner Skill and it will ride on the player's head, shooting a submachine gun as the player attacks.",Lifmunk
Logging Assistance,Increases the player's logging efficiency while Gumoss is in the party.,Gumoss
Lord Fox,"When fighting together with Wixen, increases player attack by a small amount and changes the player's damage type to Fire.",Wixen
Magma Kaiser,Increases the Fire damage dealt by the player and Blazamut while mounted. Enables Blazamut to be mounted.,Blazamut
Magma Tears,"When assigned to the Ranch, Flambelle produces Flame Organs.",Flambelle
Messenger of Death,Increases the player's attack significantly and changes the player's damage type to Dark while mounting Maraith.,Maraith
Milk Maker,"When assigned to the Ranch, Mozzarina produces Milk.",Mozzarina
Missile Party,Allows you to mount Relaxaurus Lux and have it fire a series of rockets while mounted.,Relaxaurus Lux
Modified DNA,Increases the Dark damage dealt by the player and Shadowbeak while mounted. Enables Shadowbeak to be mounted.,Shadowbeak
Mysterious Scales,"Cinnamoth attacks a target with the Poison Fog skill, inflicting poison on the enemy.",Cinnamoth
Ore Detector,"When activated, Fuddler scans for mineable mineral deposits within a 100m radius and highlights them on your compass. Higher levels of the skill expand the area of the scan.",Fuddler
Ore-loving Beast,Improves the player's mining efficiency while riding Reptyro.,Reptyro
Overaffectionate,Increases the player's max carrying capacity by a significant amount while Broncherry is on the team. Allows Broncherry to be mounted.,Broncherry
Pacapaca Wool,"When assigned to the Ranch, Melpaca produces Wool. Also enables Melpaca to be mounted.",Melpaca
Pengullet Cannon,"Arms a rocket launcher using Pengullet as ammo. On impact, Pengullet explodes and suffers lethal damage in exchange for dealing Neutral element damage, stunning any enemies it hits in a large area.",Pengullet
Plump Body,Increases the Neutral damage dealt by the player and Grintale while mounted. Enables Grintale to be mounted.,Grintale
Princess Gaze,"While Bristla is in your party, your active Grass Pal's attack is increased.",Bristla
Purification of Gaia,"While Vaelet is your active Pal, it increases the amount of items Ground Pals drop when defeated.",Vaelet
Queen Bee Command,Elizabee gains a small damage increase for each level of this Partner Skill. Does not affect Beegarde.,Elizabee
Red Hare,Increases the player's attack significantly and changes the player's damage type to Fire while mounting Pyrin.,Pyrin
Sand Swimmer,Increases base mount speed and enables mounting for Surfent Terra.,Surfent Terra
Scorching Predator,"While Faleris is your active Pal, it increases the amount of items Ice Pals drop when defeated.",Faleris
Silk Maker,"When activated, Sibelyx attacks the targeted enemy with a powerful Blizzard Spike. When assigned to the Ranch, Sibelyx produces High Quality Cloth.",Sibelyx
Sixth Sense,"When activated, scans within a 100m radius for nearby dungeons and highlights them on your map. Higher levels of the skill expand the area of the scan.",Leezpunk
Skilled Fingers,Increases the attack of Neutral Pals in the party while Ribbuny is in the party. Also increases Ribbuny's while working in a weapon assembly lines.,Ribunny
Sky Dragon's Affection,Increases the Dragon damage dealt by the player and Quivern while mounted. Enables Quivern to be mounted.,Quivern
Soil Improver,"While Dumud is in your party, your active Ground Pal's attack is increased.",Dumud
Soothing Shower,Teafant heals the player for a set amount per level of Soothing Shower when activated.,Teafant
Static Electricity,"While Sparkit is in your party, your active Electric Pal's attack is increased.",Sparkit
Steel Scorpion,Increases the player's defense and the amount of items Electric Pals drop when defeated.,Menasting
Stormbringer Lava Dragon,Increases the Fire damage dealt by the player and Jormuntide Ignis while mounted. Enables Jormuntide Ignis to be mounted.,Jormuntide Ignis
Stormbringer Sea Dragon,Increases base mount speed and enables mounting for Jormuntide. Does not consume stamina while moving on water.,Jormuntide
Surfing Slam,"Fuack slides at high speeds and hits the opponent, dealing Water elemental damage and soaks them in water.",Fuack
Swift Deity,Increases the player's attack significantly and changes the player's damage type to Electricity while mounting Univolt.,Univolt
Swift Swimmer,Increases base mount speed and enables mounting for Surfent. Does not consume stamina while moving on water.,Surfent
Telepeck,Teleports towards the target enemy then performs a powerful attack.,Cawgnito
Thunder Dragon,Increases the Electric damage dealt by the player and Dinossom Lux while mounted. Enables Dinossom Lux to be mounted.,Dinossom Lux
Thunderous,Increases the player's attack significantly and changes the player's damage type to Electric while mounting Beakon.,Beakon
Tiny Spark,"While Rooby is in your party, your active Fire Pal's attack is increased.",Rooby
Travel Companion,Increases base mount speed and enables mounting for Nitewing.,Nitewing
Ultrasonic Sensor,"When activated, Scans within a 100 meter radius for nearby Pals and highlights them on your compass. Higher levels of the skill expand the area of the scan.",Tombat
Warm Body,Increases base mount speed and enables mounting for Arsox. Keeps the rider warm in cold environments.,Arsox
Waterwing Dance,Increases the player's attack significantly and changes the player's damage type to Water while mounting Azurobe.,Azurobe
Wind and Clouds,Increases base mount speed and enables mounting for Fenglope. Allows Fenglope to double jump while mounted.,Fenglope
Wings of Death,Increases the player's attack moderately and changes the player's damage type to Dark while mounting Helzephyr.,Helzephyr
Wings of Fire,Increases the Fire damage dealt by the player and Suzaku while mounted. Enables Suzaku to be mounted.,Suzaku
Wings of Water,Increases the Water damage dealt by the player and Suzaku Aqua while mounted. Enables Suzaku Aqua to be mounted.,Suzaku Aqua
Winter Trapeze,"Allows Hangyu Cryst to be used as a glider. Hangyu Cryst gives the player a short upward burst when used. Each level increases the base gliding speed, and decreases stamina drain and the rate at which you fall while gliding.",Hangyu Cryst
Worker Bee,"When assigned to the Ranch, Beegarde produces Honey. Each Beegarde in the party increases Elizabee's Attack and Defense.",Beegarde
Wriggling Weasel,Increases the player's attack significantly and changes the player's damage type to Dragon while mounting Chillet.,Chillet
Yellow Tank,Allows you to mount Grizzbolt and have it use a minigun while mounted.,Grizzbolt
Zephyr Glider,Allows Celaray to be used as a glider. Each level increases the base gliding speed and decreases stamina drain and the rate at which you fall while gliding.,Celaray
Aerial Marauder,Increases the player's damage dealt to enemy weak points while mounted.,Vanwyrm Cryst
Angry Shark,Unleashes a powerful attack when activated. Passively powers up the player's attack while this Pal is in the party.,Gobfin Ignis
Gold Digger,"When assigned to the Ranch, Mau produces Gold Coins.",Mau Cryst
Grenadier Panda,Allows Mossanda to be mounted and wield a grenade launcher. Mossanda can fire the grenade launcher multiple times to deal Neutral element damage and stun enemies in a large area.,Mossanda Lux
Hawk Eye,Increases the player's damage dealt to enemy weak points while fighting with Robinquill.,Robinquill Terra
King of Muscles,Increases the player's max carrying capacity by a significant amount while Kingpaca is on the team. Allows Kingpaca to be mounted.,Ice Kingpaca
Overaffectionate,Increases the player's max carrying capacity by a significant amount while Broncherry is on the team. Allows Broncherry to be mounted.,Broncherry Aqua
Sixth Sense,"When activated, scans within a 100m radius for nearby dungeons and highlights them on your map. Higher levels of the skill expand the area of the scan.",Leezpunk Ignis
